0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,7,141,Ongkos Angkut SCK LPG/JUNI 2026,,,,31500000,,Bayar tgl : 03 Agustus  2026,,,,,,,,,,,,,,
,,,,,TOTAL,176690000,,,,PPh 23 ,,8002600228665228.0,18/06/2026,-630000,,,,,,,,,,,,,,,TOTAL,206316700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,TOTAL,145565000,,,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,
Mohon Transfer ke:,,,,,,,,,,,,,,,,,,,,,,,,Mohon Transfer ke:,,,,,,
BRI,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,,,,BRI,,,,,,
NO Rek:,013001002256309,,,,,,,Mohon Transfer ke:,,,,,,,,,,,,,,,,NO Rek:,013001002256309,,,,,
a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,BRI,,,,,,,,,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,
Bayar tgl : 15 Juni  2026,,,,,,,,NO Rek:,013001002256309,,,,,,,,,,,,,,,Bayar tgl : 03 Agustus  2026,,,,,,
,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Bayar tgl : 20 Juli  2026,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah
1,159,Ongkos Angkut BKI LPG/JULI 2026,,,,10000000,,1,163,Ongkos Angkut BKI LPG/JULI 2026,,,,40000000,,1,171,Ongkos Angkut SCK LPG/JULI 2026,,,,21000000,,1,176,Ongkos Angkut BKI LPG/JULI 2026,,,,20000000
,,PPh 23 ,,8002600258189527.0,09/07/2026,-200000,,,,PPh 23 ,,8012600270581643.0,16/07/2026,-800000,,,,PPh 23 ,,8002600280946277.0,20/07/2026,-420000,,,,PPh 23 ,,8002600286952618.0,23/07/2026,-400000
,,,,,,,,,,SUSUT BKI/62 L,,,,-1240000,,2,174,Ongkos Angkut SCK LPG/JULI 2026,,,,21000000,,,,,,,,
,,,,,,,,2,165,Ongkos Angkut SCK LPG/JULI 2026,,,,10500000,,,,PPh 23 ,,8002600283671448.0,21/07/2026,-420000,,,,,,,,
,,,,,,,,,,PPh 23 ,,8002600273712179.0,16/07/2026,-210000,,,,,,,,,,,,,,,,
,,,,,,,,3,168,Ongkos Angkut BKI LPG/JULI 2026,,,,20000000,,,,,,,,,,,,,,,,
,,,,,,,,,,PPh 23 ,,8002600278816846.0,18/07/2026,-400000,,,,,,,,,,,,,,,TOTAL,19600000
,,,,,,,,,,SUSUT BKI/41 L,,,,-820000,,,,,,,TOTAL,41160000,,,,,,,,
,,,,,TOTAL,9800000,,4,169,Ongkos Angkut SCK LPG/JULI 2026,,,,21000000,,,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,
,,,,,,,,,,PPh 23 ,,8002600278827428.0,18/07/2026,-420000,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,Mohon Transfer ke:,,,,,,
Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,,,,Mohon Transfer ke:,,,,,,,,BRI,,,,,,
Mohon Transfer ke:,,,,,,,,,,,,,,,,BRI,,,,,,,,NO Rek:,013001002256309,,,,,
BRI,,,,,,,,,,,,,,,,NO Rek:,013001002256309,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,
NO Rek:,013001002256309,,,,,,,,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,Bayar tgl : 31 Agustus  2026,,,,,,
a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,TOTAL,87610000,,Bayar tgl : 24 Agustus  2026,,,,,,,,,,,,,,
Bayar tgl : 10 Agustus  2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mohon Transfer ke:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NO Rek:,013001002256309,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Bayar tgl : 17 Agustus  2026,,,,,,,,,,,,,,,,,,,,,,
